x	VE	analog 5.24
x	HN	calvarycomics.com
6	Rr	4734	1.010	02	00
6	Rr	5030	1.073	02	15
6	Rr	5032	1.074	02	30
6	Rr	5708	1.218	02	45
6	Rr	5263	1.123	03	00
6	Rr	4540	0.969	03	15
6	Rr	4482	0.956	03	30
6	Rr	4574	0.976	03	45
6	Rr	5167	1.103	04	00
6	Rr	5587	1.192	04	15
6	Rr	4347	0.928	04	30
6	Rr	4221	0.901	04	45
6	Rr	4376	0.934	05	00
6	Rr	4466	0.953	05	15
6	Rr	3740	0.798	05	30
6	Rr	3935	0.840	05	45
6	Rr	4508	0.962	06	00
6	Rr	4111	0.877	06	15
6	Rr	4089	0.873	06	30
6	Rr	3707	0.791	06	45
6	Rr	3907	0.834	07	00
6	Rr	4137	0.883	07	15
6	Rr	4342	0.927	07	30
6	Rr	4016	0.857	07	45
6	Rr	4374	0.933	08	00
6	Rr	5000	1.067	08	15
6	Rr	4322	0.922	08	30
6	Rr	4216	0.900	08	45
6	Rr	4347	0.928	09	00
6	Rr	4809	1.026	09	15
6	Rr	4052	0.865	09	30
6	Rr	4386	0.936	09	45
6	Rr	4238	0.904	10	00
6	Rr	5154	1.100	10	15
6	Rr	3902	0.833	10	30
6	Rr	4364	0.931	10	45
6	Rr	4596	0.981	11	00
6	Rr	4606	0.983	11	15
6	Rr	4559	0.973	11	30
6	Rr	4377	0.934	11	45
6	Rr	4948	1.056	12	00
6	Rr	4784	1.021	12	15
6	Rr	4947	1.056	12	30
